,Guac Entrants,Townspeople,Sampling Limit,Std. Deviation,Valid
0,20,300,20,3.0,True
1,20,350,19,3.0,True
2,20,400,18,3.0,True
3,20,450,17,3.0,True
4,20,500,16,3.0,True
5,20,550,15,3.0,True
6,20,600,14,3.0,True
7,20,650,13,3.0,False
8,20,500,12,3.0,True
9,20,550,11,3.0,True
10,20,600,10,3.0,True
11,20,650,9,3.0,True
12,20,700,8,3.0,False
13,20,80,14,3.0,True
14,20,90,13,3.0,True
15,20,100,12,3.0,True
16,20,150,11,3.0,False
17,20,150,14,3.0,True
18,20,200,13,3.0,True
19,20,250,12,3.0,True
20,20,300,11,3.0,False
21,20,250,14,3.0,False
22,20,300,20,3.0,True
23,20,350,19,3.0,True
24,20,400,18,3.0,True
25,20,450,17,3.0,False
26,20,250,16,3.0,False
27,20,250,16,3.0,False
28,20,300,16,3.0,True
29,20,350,15,3.0,True
30,20,400,14,3.0,True
31,20,450,13,3.0,True
32,20,500,12,3.0,True
33,20,550,11,3.0,True
34,20,600,10,3.0,True
35,20,650,9,3.0,False
36,20,150,13,3.0,False
37,20,100,13,3.0,True
38,20,150,12,3.0,False
39,20,500,20,3.0,True
40,20,550,19,3.0,True
41,20,600,18,3.0,True
42,20,650,17,3.0,True
43,20,700,16,3.0,True
44,20,750,15,3.0,True
45,20,800,14,3.0,False
